material_id,title,price,image_url,available_amount
1,"Линолеум CAPRICE DOLCE 1 2,5м 1 класс",3050,/assets/imgs/logo2020.png,В наличии: 29 м2.
1,"Линолеум CAPRICE DOLCE 1 3,0м 1 класс",3050,/imgs/catalog/imgs/39061/medium/a077cd21-b094-11e6-bda0-00259096d116.jpg,В наличии: 30 м2.
1,"Линолеум CAPRICE DOLCE 1 4,0м 1 класс",3050,/imgs/catalog/imgs/39062/medium/000cce6a-614b-11e7-8c29-00259096d116.jpg,В наличии: 8 м2.
1,"Линолеум DELTA AZOV 1 2,5м",1750,/imgs/catalog/imgs/61036/medium/9a15d6a8-e04e-11e9-a3b4-ac1f6b02a9ed-b3724edc-9bda-11ea-b071-ac1f6b02a9ed.jpg,В наличии: 40 м2.
1,"Линолеум DELTA AZOV 1 3,00м 1 класс",1750,/imgs/catalog/imgs/61051/medium/3afc36b4-9b19-11ea-b071-ac1f6b02a9ed-b3724ed9-9bda-11ea-b071-ac1f6b02a9ed.jpg,В наличии: 40 м2.
1,"Линолеум DELTA AZOV 1 3,5м",1750,/imgs/catalog/imgs/39072/medium/99c35d10-4c48-11e3-8058-0025909279a7.jpg,В наличии: 58 м2.
1,Линолеум DELTA AZOV 1 4м 1 класс,1750,/imgs/catalog/imgs/39073/medium/4a0ba008-fcaa-11e1-a96f-001e8c0d3c8b.jpg,В наличии: 110 м2.
1,"Линолеум DELTA KENT 2 3,00м 1 класс",1650,/imgs/catalog/imgs/69959/medium/1289e8ee-28ab-11eb-adfb-ac1f6b02a9ed-8c645751-3ac1-11eb-aaef-ac1f6b02a9ed.jpg,В наличии: 2 м2.
1,"Линолеум DELTA OSTIN 1 3,0м 1 класс",1675,/imgs/catalog/imgs/39097/medium/71852d8a-60ab-11e7-8c29-00259096d116.jpg,В наличии: 17 м2.
1,"Линолеум DELTA OSTIN 1 3,5м 1 класс",1650,/imgs/catalog/imgs/70792/medium/06989f40-450f-11eb-aaef-ac1f6b02a9ed-d904c772-4ff7-11eb-b706-ac1f6b02a9ed.jpg,В наличии: 7 м2.
1,"Линолеум DELTA OSTIN 1 4,0м 1 класс",1675,/imgs/catalog/imgs/57996/medium/3c71d81c-ad02-11e9-b86b-ac1f6b02a9ed-d586add6-4e13-11ea-be95-ac1f6b02a9ed.jpg,Нет вналичии
1,"Линолеум DELTA OSTIN 2 3,5м 1 класс",1750,/imgs/catalog/imgs/39074/medium/6b06c62f-4382-11e2-abf0-0025909279a7.jpg,В наличии: 55 м2.
1,"Линолеум DELTA SORBONA 3 2,5м 1 класс",1750,/imgs/catalog/imgs/39075/medium/fba5fc7c-9046-11e2-90b2-0025909279a7.jpg,В наличии: 21 м2.
1,"Линолеум DELTA SORBONA 3 3,00м 1 класс",1750,/imgs/catalog/imgs/39102/medium/0c6c62e8-7b42-11e7-bfb6-00259096d116.jpg,В наличии: 9 м2.
1,"Линолеум DELTA SORBONA 3 3,50м 1 класс",1750,/imgs/catalog/imgs/39112/medium/cf312c35-7f01-11e2-919d-0025909279a7.jpg,В наличии: 107 м2.
1,"Линолеум DELTA SORBONA 3 4,00м 1 класс",1750,/imgs/catalog/imgs/39113/medium/b9f7adba-a561-11e1-97a0-001e8c0d3c8b.jpg,В наличии: 56 м2.
1,"Линолеум DELTA SORBONA 4 2,5м 1 класс",1750,/imgs/catalog/imgs/39114/medium/b9f7adbe-a561-11e1-97a0-001e8c0d3c8b.jpg,В наличии: 50 м2.
1,"Линолеум DELTA SORBONA 4 3,00м 1 класс",1750,/imgs/catalog/imgs/39115/medium/b9f7adc2-a561-11e1-97a0-001e8c0d3c8b.jpg,В наличии: 14 м2.
1,"Линолеум DELTA SORBONA 4 3,50м 1 класс",1750,/imgs/catalog/imgs/39118/medium/dda1bd60-29c9-11e3-b68b-0025909279a7.jpg,В наличии: 114 м2.
1,"Линолеум DELTA SORBONA 4 4,00м 1 класс",1750,/imgs/catalog/imgs/39119/medium/b9f7adc6-a561-11e1-97a0-001e8c0d3c8b.jpg,В наличии: 61 м2.
1,"Линолеум DELTA ЛУНА 2 2,50м 1класс",1750,/imgs/catalog/imgs/39121/medium/b9f7adca-a561-11e1-97a0-001e8c0d3c8b.jpg,В наличии: 152 м2.
1,"Линолеум DELTA ЛУНА 2 3,00м 1 класс",1750,/imgs/catalog/imgs/39122/medium/b9f7adce-a561-11e1-97a0-001e8c0d3c8b.jpg,В наличии: 36 м2.
1,"Линолеум DELTA ЛУНА 2 3,50м 1 класс",1750,/imgs/catalog/imgs/39134/medium/69dc6635-334c-11e4-bc0c-0025909279a7.jpg,В наличии: 144 м2.
